Row,Name,Count,crank1,crankx
176,ZAIN ,316,+22Ê ,-4Ê
178,LEONARDO ,315,+18Ê ,+170Ê
179,ZACK ,312,-16Ê ,+14Ê
180,KEVIN ,309,-3Ê ,+2Ê
181,PARKER ,308,+173Ê ,+3471Ê
182,ABDUL ,307,+5Ê ,-22Ê
182,ANDREW ,307,-28Ê ,-103Ê
182,MYLES ,307,-5Ê ,+3Ê
185,AHMED ,306,-23Ê ,-22Ê
186,OAKLEY ,303,+24Ê ,+190Ê
187,ALAN ,302,-2Ê ,+88Ê
187,BEAU ,302,-12Ê ,+101Ê
189,ERIC ,301,+46Ê ,+76Ê
189,MUSA ,301,+2Ê ,+189Ê
191,OSKAR ,297,-3Ê ,+197Ê
192,ELIAS ,294,+38Ê ,+129Ê
193,MARLEY ,292,-8Ê ,+59Ê
193,YAHYA ,292,+29Ê ,+242Ê
195,JOE ,291,-1Ê ,-139Ê
195,LINCOLN ,291,+9Ê ,+1028Ê
197,FRANK ,290,+38Ê ,+40Ê
198,HUNTER ,289,+13Ê ,+1681Ê
199,BARNABY ,285,+13Ê ,+32Ê
199,FREDDY ,285,+42Ê ,+106Ê
199,JAY ,285,+3Ê ,-132Ê
199,ZAK ,285,-19Ê ,-94Ê
203,MAXIMUS ,284,-8Ê ,+74Ê
204,RAYYAN ,283,-7Ê ,+248Ê
205,HAMZA ,280,-4Ê ,-62Ê
206,EWAN ,275,-14Ê ,-95Ê
206,KIERAN ,275,-16Ê ,-166Ê
208,VINNIE ,274,+13Ê ,+194Ê
209,DANNY ,272,-1Ê ,-81Ê
210,COOPER ,271,-12Ê ,+522Ê
211,BRANDON ,269,-46Ê ,-167Ê
212,JORDAN ,268,+3Ê ,-126Ê
213,EZRA ,266,+82Ê ,+476Ê
213,LENNY ,266,+35Ê ,+230Ê
213,RIO ,266,+9Ê ,-43Ê
216,CHASE ,263,-11Ê ,+691Ê
216,MARCUS ,263,-42Ê ,-96Ê
218,GRAYSON ,262,+13Ê ,Ê:Ê
218,MARK ,262,-3Ê ,-95Ê
220,FRASER ,258,-13Ê ,-1Ê
221,RAYAN ,257,+7Ê ,+289Ê
222,ROHAN ,256,-2Ê ,-83Ê
223,FRANCIS ,255,+18Ê ,-13Ê
224,XAVIER ,254,-52Ê ,+35Ê
225,FLETCHER ,251,+23Ê ,+153Ê
226,LUKAS ,249,-34Ê ,+102Ê
226,ZACH ,249,+2Ê ,+39Ê
